ledger_schema_version	plan_path	plan_sha256	block	order_in_block	repetition	loadgen_seed	request_rate	num_prompts	accepted_run_id	accepted_attempt	accepted_execution_order	accepted_started_at_utc	accepted_completed_at_utc	attempt_history
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	1	1	1	31001	13	3900	open_loop_steady-phase3b-v1-in512-out128-l13-s31001-b1-a1	1	1	2026-08-12T06:10:22.242920+00:00	2026-08-12T06:15:57.606409+00:00	a1:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	1	2	1	31001	12	3600	open_loop_steady-phase3b-v1-in512-out128-l12-s31001-b1-a1	1	2	2026-08-12T06:16:06.073639+00:00	2026-08-12T06:21:37.851848+00:00	a1:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	1	3	1	31001	14	4200	open_loop_steady-phase3b-v1-in512-out128-l14-s31001-b1-a1	1	3	2026-08-12T06:21:46.300909+00:00	2026-08-12T06:27:30.216800+00:00	a1:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	2	1	2	31002	12	3600	open_loop_steady-phase3b-v1-in512-out128-l12-s31002-b2-a2	2	4	2026-08-12T07:21:53.427695+00:00	2026-08-12T07:27:23.316240+00:00	a1:failed,a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	2	2	2	31002	14	4200	open_loop_steady-phase3b-v1-in512-out128-l14-s31002-b2-a2	2	6	2026-08-12T07:39:32.378449+00:00	2026-08-12T07:45:17.905593+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	2	3	2	31002	13	3900	open_loop_steady-phase3b-v1-in512-out128-l13-s31002-b2-a2	2	5	2026-08-12T07:33:52.318748+00:00	2026-08-12T07:39:23.831900+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	3	1	3	31003	14	4200	open_loop_steady-phase3b-v1-in512-out128-l14-s31003-b3-a2	2	9	2026-08-12T07:56:46.898944+00:00	2026-08-12T08:02:33.074248+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	3	2	3	31003	12	3600	open_loop_steady-phase3b-v1-in512-out128-l12-s31003-b3-a2	2	7	2026-08-12T07:45:26.434274+00:00	2026-08-12T07:50:57.229035+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	3	3	3	31003	13	3900	open_loop_steady-phase3b-v1-in512-out128-l13-s31003-b3-a2	2	8	2026-08-12T07:51:05.784816+00:00	2026-08-12T07:56:38.373462+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	4	1	4	31004	13	3900	open_loop_steady-phase3b-v1-in512-out128-l13-s31004-b4-a2	2	11	2026-08-12T08:08:20.628358+00:00	2026-08-12T08:13:53.670491+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	4	2	4	31004	14	4200	open_loop_steady-phase3b-v1-in512-out128-l14-s31004-b4-a2	2	12	2026-08-12T08:14:02.199719+00:00	2026-08-12T08:19:48.980354+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	4	3	4	31004	12	3600	open_loop_steady-phase3b-v1-in512-out128-l12-s31004-b4-a2	2	10	2026-08-12T08:02:41.682893+00:00	2026-08-12T08:08:12.104306+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	5	1	5	31005	12	3600	open_loop_steady-phase3b-v1-in512-out128-l12-s31005-b5-a2	2	13	2026-08-12T08:19:57.540164+00:00	2026-08-12T08:25:30.438216+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	5	2	5	31005	13	3900	open_loop_steady-phase3b-v1-in512-out128-l13-s31005-b5-a2	2	14	2026-08-12T08:25:38.993906+00:00	2026-08-12T08:31:12.642362+00:00	a2:complete
1	results/plans/phase3b-v1-open-loop-steady-plan.tsv	077b576dcb25c61c17616263ce94b6633542cfd75ff6b55477c5498301a41ffe	5	3	5	31005	14	4200	open_loop_steady-phase3b-v1-in512-out128-l14-s31005-b5-a5	5	15	2026-08-12T13:53:31.055137+00:00	2026-08-12T13:59:42.236691+00:00	a2:failed,a3:failed,a4:failed,a5:complete
