evidence_status,experiment_spec_sha256,run_namespace,plan_sha256,nominal_arrival_horizon_seconds,ttft_slo_ms,e2e_slo_ms,tpot_slo_ms,phase,input_len,output_len,concurrency,request_rate,num_prompts,repetitions,distinct_loadgen_seeds,completed_total,failed_total,benchmark_throughput_vs_configured_rate_pct,duration_median,duration_min,duration_max,request_throughput_median,request_throughput_min,request_throughput_max,input_throughput_median,input_throughput_min,input_throughput_max,output_throughput_median,output_throughput_min,output_throughput_max,total_token_throughput_median,total_token_throughput_min,total_token_throughput_max,mean_ttft_ms_median,mean_ttft_ms_min,mean_ttft_ms_max,p50_ttft_ms_median,p50_ttft_ms_min,p50_ttft_ms_max,p95_ttft_ms_median,p95_ttft_ms_min,p95_ttft_ms_max,p99_ttft_ms_median,p99_ttft_ms_min,p99_ttft_ms_max,mean_tpot_ms_median,mean_tpot_ms_min,mean_tpot_ms_max,p50_tpot_ms_median,p50_tpot_ms_min,p50_tpot_ms_max,p95_tpot_ms_median,p95_tpot_ms_min,p95_tpot_ms_max,p99_tpot_ms_median,p99_tpot_ms_min,p99_tpot_ms_max,mean_itl_ms_median,mean_itl_ms_min,mean_itl_ms_max,p50_itl_ms_median,p50_itl_ms_min,p50_itl_ms_max,p95_itl_ms_median,p95_itl_ms_min,p95_itl_ms_max,p99_itl_ms_median,p99_itl_ms_min,p99_itl_ms_max,mean_e2el_ms_median,mean_e2el_ms_min,mean_e2el_ms_max,p50_e2el_ms_median,p50_e2el_ms_min,p50_e2el_ms_max,p95_e2el_ms_median,p95_e2el_ms_min,p95_e2el_ms_max,p99_e2el_ms_median,p99_e2el_ms_min,p99_e2el_ms_max,request_goodput_median,request_goodput_min,request_goodput_max,arrival_span_s_median,arrival_span_s_min,arrival_span_s_max,realized_send_rate_median,realized_send_rate_min,realized_send_rate_max,drain_time_approx_s_median,drain_time_approx_s_min,drain_time_approx_s_max
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,512,128,256,4.0,256,5,1,1280,0,99.92008070483556,64.05118925900024,63.59262147399568,64.46834997100086,3.9968032281934223,3.970940781253962,4.025624263731346,2046.3632528350322,2033.1216800020286,2061.119623030449,511.59081320875805,508.28042000050715,515.2799057576123,2557.95406604379,2541.4021000025355,2576.399528788061,41.9130857618768,41.54938108194983,42.78231287534595,39.952098501089495,39.5514390002063,40.592863497295184,57.492438252666034,57.14925400025095,59.59074450038315,76.42914330463094,63.98502614902099,83.52695564717551,7.607325360266073,7.568837202785919,7.6647341463433705,7.416309889769879,7.395105555122599,7.503143251983781,9.413923381923562,9.20878209055488,9.694438068916096,9.761906527514444,9.336264433879952,10.040220109039806,7.607326277804789,7.568838189037588,7.664735096641801,6.8879374957759865,6.857072999991942,6.946955996681936,13.439673053289871,13.357102749432658,14.010454048911923,20.498851940355962,19.653263775689993,20.757632966560777,1007.6797018357411,1002.9706308984316,1016.203549460954,982.9254355026933,978.7390655037598,997.0771205007622,1240.1846057509829,1216.6339077484736,1275.1731060016027,1295.8567231042252,1229.1027994488104,1328.1195325020235,,,,63.01521003800008,62.5430644070002,63.428448156999366,4.046642070164128,4.020278083563055,4.0771906912105,1.0359792210001615,1.0325795149983605,1.049557066995476
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,512,128,256,6.0,256,5,1,1280,0,99.29238999167663,42.97073186600028,42.181556689996796,43.30218428200169,5.957543399500598,5.91194195500214,6.0690031399602065,3050.2622205443063,3026.9142809610958,3107.3296076596257,762.5655551360766,756.7285702402739,776.8324019149064,3812.827775680383,3783.6428512013695,3884.162009574532,45.83288341018488,45.197392066739894,49.095014472442244,43.007793501601554,42.494909997913055,43.59911649589776,62.55619824696623,62.27750525067677,80.71222849866899,76.3330584490177,69.85094949959594,132.50914390227985,8.738853525960529,8.662602626814515,8.880305147175884,8.723633051177305,8.653775826770277,8.957574633872513,10.528304275565489,10.440639149624255,11.310234933047267,10.952473710617989,10.674943146049495,12.408292450428538,8.73885553924656,8.662603535064035,8.880306100455012,7.9068764971452765,7.850375503039686,7.997869997780072,16.53322995043709,16.208048049156787,17.26633289690653,23.775718291217345,22.68122801069694,25.72567003197035,1155.6672812071724,1145.651309172024,1176.8937681637794,1159.895314500318,1148.6059194976406,1186.4287255011732,1381.7113059976691,1372.5550750059483,1523.5610269992321,1433.6864233016968,1398.538514696338,1686.416928298786,,,,41.957691352006805,41.11976577499445,42.2998341929997,6.077550784685953,6.028392424341951,6.201397191689972,1.0023500890019932,0.9915501570067136,1.061790915002348
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,512,128,256,8.0,256,5,1,1280,0,99.08354869431626,32.29597690200171,32.18779357299354,32.69167874699633,7.926683895545302,7.83073888561079,7.953325518242144,4058.4621545191944,4009.3383094327246,4072.1026653399776,1014.6155386297986,1002.3345773581811,1018.0256663349944,5073.077693148993,5011.672886790906,5090.128331674972,51.02766926935942,50.68772831245383,51.070752347641246,47.26580800343072,46.71053049969487,47.596852000424406,77.31674825117807,72.64357575149916,81.50246774675907,91.89651150300048,89.91392119824013,101.30877985284314,10.364019471672584,10.289520805765358,10.404883787740161,10.53616567322912,10.411118968505885,10.656470279538164,12.617277425191801,12.574119476378504,12.683845517711049,12.89347161695418,12.847579621654768,12.97390051257412,10.364020362974038,10.28952176254886,10.404884787740327,9.092349500861019,9.010390498588094,9.104715503781335,21.57151520186743,20.962872898235215,21.94319674854341,29.011531426658618,28.574098343087826,29.860150566673603,1367.258142171778,1357.4568706446541,1372.4909933906417,1395.281391498429,1374.5868489968416,1408.523268000863,1652.6902810019237,1646.676900503735,1666.5657745033968,1684.7118572535692,1679.4998069024584,1698.1938461500247,,,,31.26035485900502,31.153878735000035,31.646958419994917,8.157297034858944,8.057646381552043,8.1851766250062,1.036224723997293,1.0339148379935068,1.0447203270014143
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,512,128,256,10.0,256,5,1,1280,0,97.28024982950183,26.315721890998248,25.97318082399579,26.52422522300185,9.728024982950183,9.651554299802749,9.856320707685128,4980.748791270494,4941.595801499007,5046.436202334786,1245.1871978176234,1235.3989503747518,1261.6090505836964,6225.935989088118,6176.994751873759,6308.045252918482,60.753544035264895,60.422948421660294,69.03178229282503,56.53916250230395,56.03299750146107,57.352546999027254,94.3772832488321,94.05180475005182,126.85314174450468,113.61428505188084,101.8350114500208,279.4012354021106,13.206495483359951,12.921538661174512,13.93282307889324,13.111228610252123,12.759056633885349,13.97924213385458,16.42336254921906,16.23324303349593,21.342675913363948,17.24971901967078,17.01355803778015,22.105801294104115,13.206496391086242,12.921539546845557,13.932823944417768,11.25207000222872,10.937503502645995,11.288458998023998,30.864351544005324,29.629039104111143,32.63758969915215,39.86005319515243,36.131707990862196,51.73121088613698,1737.6478748083741,1701.5906597854098,1838.5003133122666,1725.377626997215,1682.3491175018717,1834.6886275030556,2153.8562817513593,2124.5392107521184,2837.463321753603,2278.279780401135,2237.5666573501803,3017.7760767492146,,,,24.86405549799383,24.791161401000863,25.287921951996395,10.255768614278342,10.083865352165429,10.285923917614655,1.197299112995097,1.1792440129938768,1.5245604899973841
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,512,128,256,12.0,256,5,1,1280,0,94.53006794527509,22.567775308998534,22.50846912799898,22.714518807995773,11.343608153433012,11.270324595645189,11.373496728906975,5807.927374557702,5770.406192970337,5823.230325200371,1451.9818436394255,1442.6015482425842,1455.8075813000928,7259.909218197128,7213.007741212921,7279.037906500464,76.89362935158783,71.99669273435916,78.39862801174036,72.58509950042935,67.79914450089564,74.90595350100193,120.23051374671923,114.67365550197428,121.37739049649099,136.76361820398594,132.7678743014985,146.4353869490878,18.091095484067175,16.944675202633626,18.58986354216936,18.76654163777313,17.76202847243504,19.30561396061886,22.68860986218288,22.323874700777818,25.15634337796082,23.582238890941063,23.229967531530182,26.120603971254226,18.09109640194539,16.944676080556953,18.589864425935477,14.655472503363853,13.898185996367829,14.852575499389786,40.91902265136013,39.159167897742,42.864002152418834,56.72730787249748,56.26713992198347,60.65933689256781,2374.4627558281195,2223.970443468829,2439.186528699366,2447.6309545025288,2322.0168504994945,2545.9642884961795,2966.649164498449,2903.0171829999745,3303.4767000008287,3098.786503701922,3047.1003678510897,3408.9028548005444,,,,21.01942058900022,20.966695547998825,21.264867919002427,12.131637925997131,11.99160986897691,12.162145408952561,1.548354719998315,1.4496508889933466,1.6908265439997194
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,512,128,256,14.0,256,5,1,1280,0,90.25305923557657,20.26049248700292,19.729651002002356,20.57051905100525,12.63542829298072,12.44499467248444,12.975394241591939,6469.3392860061285,6371.837272312033,6643.401851695073,1617.3348215015321,1592.9593180780082,1660.8504629237682,8086.674107507661,7964.796590390041,8304.252314618841,154.09751165654484,106.32532789838933,445.98629287892777,112.59410200000275,99.68341649801005,279.53774399793474,434.8176519979461,175.63587174663553,1289.455011003156,606.5677585014781,274.14886429833103,1505.9002034475266,27.707991261998465,25.28633859390397,29.688105398069798,29.896973751985612,26.69366565744959,33.73611447243565,34.681445842493765,31.931087041325164,36.110386295271255,34.94146518624323,32.31304544331249,38.962621508236886,27.70799212844614,25.28633951485665,29.688106266423514,21.22533450165065,19.57738650162355,22.31379799923161,63.14675684589016,61.56056624931807,71.91907464766697,88.80735647435357,83.0965716810897,103.58801181209856,3679.8205664610177,3317.6903293241935,4216.375678433792,3932.864050500939,3476.0938319996058,4657.256513502944,4529.2538812482235,4197.053713747664,5624.563198749456,4585.786379350975,4219.890104602018,5957.134178903289,,,,18.047600013000192,17.387740313002723,18.22579785600101,14.129302500959483,13.991157040954393,14.665505431393434,2.3067308430036064,2.0271500760063645,2.8727521740001976
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,512,128,256,16.0,256,5,1,1280,0,80.2495424887091,19.93780837099621,19.564046822997625,19.978220320001128,12.839926798193455,12.813954191090108,13.085227321122073,6574.042520675049,6560.744545838135,6699.636388414501,1643.5106301687622,1640.1861364595338,1674.9090971036253,8217.55315084381,8200.930682297669,8374.545485518127,913.0235203594737,713.7457705701422,1257.845545343713,691.2729639989266,597.1402005015989,1441.2907184996584,2535.6800967492745,2112.4126867489394,3076.5159644997766,2723.6433629524977,2338.8895210959163,3221.962334549607,30.558576180549892,30.38290840575855,32.07499351937998,34.875859027532734,34.5127824803344,35.420237240146875,36.54309238586357,36.370241417325886,36.78736037204723,38.12448433505263,37.84469527127503,38.20321042087561,30.55857705410321,30.382909271252192,32.074994837201096,22.34556750045158,22.253685998293804,22.509637001348892,70.41982335285866,69.76992030431575,87.83292235311818,103.87735979435092,103.02528620806697,104.82437247497728,4793.9626952893095,4572.375138101478,5138.016751277462,5152.455359999294,4748.825029000727,5581.855858999916,5898.483069751819,5753.448828245382,6565.329721750459,6145.554514651667,5900.144660999649,6696.2332216990035,,,,15.219615816997248,15.187006357002247,15.947152630003984,16.754693618167178,15.990315382084376,16.790669207985655,4.346717981999973,3.8935860579949804,4.755339932002244
