evidence_status,experiment_spec_sha256,run_namespace,plan_sha256,nominal_arrival_horizon_seconds,ttft_slo_ms,e2e_slo_ms,tpot_slo_ms,phase,run_id,input_len,output_len,concurrency,request_rate,loadgen_seed,repetition,completed,failed,num_prompts,duration,request_throughput,request_goodput,input_throughput,output_throughput,total_token_throughput,actual_input_len_min,actual_input_len_max,actual_input_len_mean,input_token_abs_drift_total,input_token_net_drift_total,input_token_abs_drift_pct,arrival_span_s,realized_send_rate,drain_time_approx_s,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l10-r1,512,128,256,10.0,0,1,256,0,256,26.475797061000776,9.669208424969069,,4950.634713584163,1237.6586783960408,6188.2933919802035,512,512,512.0,0,0,0.0,25.27849794800568,10.087624688954984,1.197299112995097,60.422948421660294,56.673626000701915,94.05180475005182,101.8350114500208,13.206495483359951,13.670384007872505,16.268524917303314,17.01355803778015,13.206496391086242,11.28806650012848,30.864351544005324,39.86005319515243,1737.6478748083741,1804.1256310025346,2136.344622249453,2237.5666573501803
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l10-r2,512,128,256,10.0,0,2,256,0,256,26.52422522300185,9.651554299802749,,4941.595801499007,1235.3989503747518,6176.994751873759,512,512,512.0,0,0,0.0,25.287921951996395,10.083865352165429,1.236303271005454,60.753544035264895,56.03299750146107,96.20981349871727,113.61428505188084,13.332877906433207,13.97924213385458,17.041705582665227,17.472859476009493,13.332879920981428,11.288458998023998,31.58758110002964,37.138613588758744,1754.0290381522823,1834.6886275030556,2246.9503442498535,2283.1598566506727
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l10-r3,512,128,256,10.0,0,3,256,0,256,26.315721890998248,9.728024982950183,,4980.748791270494,1245.1871978176234,6225.935989088118,512,512,512.0,0,0,0.0,24.791161401000863,10.285923917614655,1.5245604899973841,61.030684058749785,56.44519200359355,94.3772832488321,106.41754899806983,13.110500503256437,13.077132334614376,16.42336254921906,17.24971901967078,13.110501401696661,11.22931499776314,30.24066729885817,47.841429219333804,1726.0642479723174,1725.377626997215,2153.8562817513593,2278.279780401135
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l10-r4,512,128,256,10.0,0,4,256,0,256,26.046825514000375,9.82845298604231,,5032.1679288536625,1258.0419822134156,6290.209911067078,512,512,512.0,0,0,0.0,24.86405549799383,10.255768614278342,1.1827700160065433,60.555249816246715,56.53916250230395,94.37084200362733,119.56348139829052,12.921538661174512,12.759056633885349,16.23324303349593,17.052403687007676,12.921539546845557,10.937503502645995,29.629039104111143,36.131707990862196,1701.5906597854098,1682.3491175018717,2124.5392107521184,2246.603313650848
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l10-r5,512,128,256,10.0,0,5,256,0,256,25.97318082399579,9.856320707685128,,5046.436202334786,1261.6090505836964,6308.045252918482,512,512,512.0,0,0,0.0,24.793936811001913,10.284772520951487,1.1792440129938768,69.03178229282503,57.352546999027254,126.85314174450468,279.4012354021106,13.93282307889324,13.111228610252123,21.342675913363948,22.105801294104115,13.932823944417768,11.25207000222872,32.63758969915215,51.73121088613698,1838.5003133122666,1717.541549998714,2837.463321753603,3017.7760767492146
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l12-r1,512,128,256,12.0,0,1,256,0,256,22.567775308998534,11.343608153433012,,5807.927374557702,1451.9818436394255,7259.909218197128,512,512,512.0,0,0,0.0,21.01942058900022,12.131637925997131,1.548354719998315,76.89362935158783,73.61318049879628,120.23051374671923,141.01042149886777,18.091095484067175,19.22220618109536,22.557054958635103,23.468666855109127,18.09109640194539,14.743310497578932,40.91902265136013,56.72730787249748,2374.4627558281195,2524.219525999797,2950.226495247989,3091.5723019483266
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l12-r2,512,128,256,12.0,0,2,256,0,256,22.714518807995773,11.270324595645189,,5770.406192970337,1442.6015482425842,7213.007741212921,512,512,512.0,0,0,0.0,21.264867919002427,11.99160986897691,1.4496508889933466,71.99669273435916,67.79914450089564,114.67365550197428,132.7678743014985,16.944675202633626,17.76202847243504,22.323874700777818,23.229967531530182,16.944676080556953,13.898185996367829,39.159167897742,56.26713992198347,2223.970443468829,2322.0168504994945,2903.0171829999745,3047.1003678510897
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l12-r3,512,128,256,12.0,0,3,256,0,256,22.50846912799898,11.373496728906975,,5823.230325200371,1455.8075813000928,7279.037906500464,512,512,512.0,0,0,0.0,21.02825020599994,12.126543935036567,1.4802189219990396,78.27385884385762,72.58509950042935,121.37739049649099,146.4353869490878,18.58986354216936,18.76654163777313,25.15634337796082,26.120603971254226,18.589864425935477,14.655472503363853,42.864002152418834,60.65933689256781,2439.186528699366,2447.6309545025288,3303.4767000008287,3408.9028548005444
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l12-r4,512,128,256,12.0,0,4,256,0,256,22.515953212998284,11.369716288636326,,5821.294739781799,1455.3236849454497,7276.618424727249,512,512,512.0,0,0,0.0,20.966695547998825,12.162145408952561,1.549257664999459,78.39862801174036,74.90595350100193,120.39130549601396,136.76361820398594,18.39478818264169,19.30561396061886,22.68860986218288,23.582238890941063,18.394789128014658,14.852575499389786,41.37602480259375,57.44750264289905,2414.536727207235,2545.9642884961795,2966.649164498449,3098.786503701922
complete,ce8afa530cfbd5126854913693eb7496dd8ebae173be74f73de80cc17e536f4c,,,,,,,open_loop,open_loop-in512-out128-l12-r5,512,128,256,12.0,0,5,256,0,256,22.662405461000162,11.296241276794362,,5783.675533718713,1445.9188834296783,7229.594417148392,512,512,512.0,0,0,0.0,20.971578917000443,12.159313374029567,1.6908265439997194,73.9339321096395,70.0449079995451,117.13293999855523,134.24533334691657,17.44845549572326,18.067717468511546,23.008982094496766,24.014243951579395,17.448456410035103,14.374001999385655,39.85979380340723,56.38247580216557,2289.887780066493,2365.88496100012,2998.914239500664,3134.9296658514504
