evidence_status,experiment_spec_sha256,run_namespace,plan_sha256,nominal_arrival_horizon_seconds,ttft_slo_ms,e2e_slo_ms,tpot_slo_ms,phase,run_id,input_len,output_len,concurrency,request_rate,loadgen_seed,repetition,completed,failed,num_prompts,duration,request_throughput,request_goodput,input_throughput,output_throughput,total_token_throughput,actual_input_len_min,actual_input_len_max,actual_input_len_mean,input_token_abs_drift_total,input_token_net_drift_total,input_token_abs_drift_pct,arrival_span_s,realized_send_rate,drain_time_approx_s,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
complete,73a335bdb3dc072fe9c7b19600408bb618a836eda93c871021a7ae951b4d7bcb,,,,,,,prefill_decode,pd-A-in128-out32-c8-r1,128,32,8,inf,0,1,64,0,64,1.9213132059958298,33.31055020091238,,4263.750425716785,1065.9376064291962,5329.688032145981,128,128,128.0,0,0,0.0,,,,38.45405735899021,38.12809349983581,53.752207351863035,54.45071889756946,6.447663031251743,6.363883064383821,6.947158725890931,6.976804072955049,6.44766660383128,6.117704000644153,7.933671803766626,17.546998100369834,238.33161132779423,237.8050865008845,243.78604174744396,246.04383382036758
complete,73a335bdb3dc072fe9c7b19600408bb618a836eda93c871021a7ae951b4d7bcb,,,,,,,prefill_decode,pd-A-in128-out32-c8-r2,128,32,8,inf,0,2,64,0,64,1.9138655090064276,33.44017628136537,,4280.342564014767,1070.0856410036918,5350.428205018459,128,128,128.0,0,0,0.0,,,,37.65064982815147,35.036178000154905,53.45459254531306,54.18766473943833,6.449574595256807,6.469661596765359,6.93983531933965,6.957513012654794,6.4495783140046115,6.0974674961471464,8.282966804836178,18.19780030375114,237.5874622811125,236.48188399965875,243.61350939980184,243.97005247010384
complete,73a335bdb3dc072fe9c7b19600408bb618a836eda93c871021a7ae951b4d7bcb,,,,,,,prefill_decode,pd-A-in128-out32-c8-r3,128,32,8,inf,0,3,64,0,64,1.9272807400047895,33.20740910835904,,4250.548365869957,1062.6370914674892,5313.185457337447,128,128,128.0,0,0,0.0,,,,39.608271124848216,41.76976099915919,54.57535034911415,55.294820840790635,6.437001653235682,6.291387145240385,6.960689806463404,6.994690581956211,6.437005249487752,6.104784999479307,8.098259399048397,15.41187459079083,239.15532237515436,238.45711149988347,247.0006554016436,247.6389242002915
complete,73a335bdb3dc072fe9c7b19600408bb618a836eda93c871021a7ae951b4d7bcb,,,,,,,prefill_decode,pd-A-in128-out32-c8-r4,128,32,8,inf,0,4,64,0,64,1.9314365130048827,33.13595842735226,,4241.402678701089,1060.3506696752722,5301.753348376361,128,128,128.0,0,0,0.0,,,,39.01043868813758,38.65240949744475,56.28973449965997,56.9462103114347,6.487085440000791,6.417848838604949,6.9976187725138335,7.044071192208174,6.487089146664784,6.117609002103563,8.362791295803618,18.78429044329096,240.11008732816208,239.00476150083705,247.25225530055468,248.45592091856815
complete,73a335bdb3dc072fe9c7b19600408bb618a836eda93c871021a7ae951b4d7bcb,,,,,,,prefill_decode,pd-A-in128-out32-c8-r5,128,32,8,inf,0,5,64,0,64,1.9362092060036957,33.05427936276316,,4230.947758433685,1057.7369396084212,5288.684698042105,128,128,128.0,0,0,0.0,,,,43.5141039846485,48.31968050348223,56.54687260357604,59.99336355991545,6.346159683465474,6.1781135806203595,6.922417593429394,6.967806579557345,6.346163292344118,6.066333004127955,7.1657996995782005,18.697557099367263,240.2450541720782,242.0326719948207,247.7471583042643,252.30799146222128
complete,a7c40ab44fc98629e4f21a684ed1bbdbe7ac6262fb4480ac7ce13ba557782c50,,,,,,,prefill_decode,pd-B-in1536-out32-c8-r1,1536,32,8,inf,0,1,64,0,64,7.151778947001731,8.948822450228413,,13745.391283550842,286.3623184073092,14031.753601958151,1536,1536,1536.0,0,0,0.0,,,,217.69441743742846,216.25967699947068,421.4437134025497,538.5793356133944,21.699143566523514,21.74090520976836,25.67166136448636,25.752136523179583,21.699147262603628,12.077273000613786,73.69276240206091,91.23613141411629,890.3678679996574,890.2212575012527,1019.281966699054,1126.186275162181
complete,a7c40ab44fc98629e4f21a684ed1bbdbe7ac6262fb4480ac7ce13ba557782c50,,,,,,,prefill_decode,pd-B-in1536-out32-c8-r2,1536,32,8,inf,0,2,64,0,64,7.143539682001574,8.959143904701824,,13761.245037622,286.69260495045836,14047.937642572459,1536,1536,1536.0,0,0,0.0,,,,217.41102373414378,215.4136284989363,421.3095870458341,539.2535505792329,21.676647874506497,21.71322301611297,25.645597093452743,25.73739622068505,21.676651983361516,12.054628998157568,73.76421415428922,90.92659357702365,889.3871078438451,889.0795675033587,1017.3574871016167,1125.2233576884462
complete,a7c40ab44fc98629e4f21a684ed1bbdbe7ac6262fb4480ac7ce13ba557782c50,,,,,,,prefill_decode,pd-B-in1536-out32-c8-r3,1536,32,8,inf,0,3,64,0,64,7.119992798005114,8.988773137232888,,13806.755538789716,287.6407403914524,14094.396279181168,1536,1536,1536.0,0,0,0.0,,,,216.5702239062739,215.05129800061695,417.4427884496249,535.0544446626008,21.610146468271022,21.653951322678626,25.581601912938734,25.645503085193454,21.610150545381746,12.029524998069974,73.20570034826233,90.39355850218281,886.4847644226757,886.8329220022133,1011.3274737515892,1117.3619863429483
complete,a7c40ab44fc98629e4f21a684ed1bbdbe7ac6262fb4480ac7ce13ba557782c50,,,,,,,prefill_decode,pd-B-in1536-out32-c8-r4,1536,32,8,inf,0,4,64,0,64,7.1155219430002035,8.994421001393878,,13815.430658140996,287.8214720446041,14103.2521301856,1536,1536,1536.0,0,0,0.0,,,,216.36051440623305,214.51803099989775,416.6890873464576,533.8811260525836,21.59671416281174,21.63603075795465,25.557514229113885,25.664224635233214,21.596717974808424,12.001672497717664,73.32946550232009,89.32261996968032,885.858653453397,885.9068810015742,1011.4395267959477,1116.6262048917997
complete,a7c40ab44fc98629e4f21a684ed1bbdbe7ac6262fb4480ac7ce13ba557782c50,,,,,,,prefill_decode,pd-B-in1536-out32-c8-r5,1536,32,8,inf,0,5,64,0,64,7.245158890000312,8.833484671858901,,13568.23245597527,282.67150949948484,13850.903965474756,1536,1536,1536.0,0,0,0.0,,,,220.34143885946378,218.4688044981158,427.0341875020672,547.8580757295275,21.989526667334022,22.002023886964324,26.000319515972684,26.12335346699007,21.9895307227819,12.245371497556334,74.5199359524122,91.71793182802517,902.0167655468185,901.2581520000822,1038.087932651615,1147.79434425036
