evidence_status,experiment_spec_sha256,run_namespace,plan_sha256,nominal_arrival_horizon_seconds,ttft_slo_ms,e2e_slo_ms,tpot_slo_ms,phase,run_id,input_len,output_len,concurrency,request_rate,loadgen_seed,repetition,completed,failed,num_prompts,duration,request_throughput,request_goodput,input_throughput,output_throughput,total_token_throughput,actual_input_len_min,actual_input_len_max,actual_input_len_mean,input_token_abs_drift_total,input_token_net_drift_total,input_token_abs_drift_pct,arrival_span_s,realized_send_rate,drain_time_approx_s,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l11-s31001-b1-a1,512,128,1024,11.0,31001,1,3300,0,3300,309.94194116300787,10.64715535954016,,5451.3435440845615,1362.8358860211404,6814.1794301057025,512,512,512.0,0,0,0.0,298.04529569100123,11.06878735445716,11.89664547200664,3291.7042485399484,128.92567651579157,10622.569326948722,12159.987126903701,33.3608149992816,28.589136574708853,57.35032245632275,67.97996112197495,33.36360223833091,24.52489800634794,101.95827499846926,152.94558076071553,7528.527753448712,3787.975123486831,16396.45395250118,17861.57250800141
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l10-s31001-b1-a1,512,128,1024,10.0,31001,1,3000,0,3000,304.631768243009,9.847955179798774,,5042.153052056972,1260.538263014243,6302.691315071215,512,512,512.0,0,0,0.0,300.0171239399933,9.996096091501206,4.614644303015666,1868.1549516992818,142.6203534938395,7650.4182180899015,9813.599004070853,34.28742352562623,33.0335476023684,59.061995496025574,66.84038560236176,34.28742466591981,24.97842098819092,101.81590990250697,155.33906195836607,6222.6577394538135,4705.27114548895,13767.376247860368,15491.646181202368
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l12-s31001-b1-a1,512,128,1024,12.0,31001,1,3600,0,3600,416.9946305810008,8.633204688952711,,4420.200800743788,1105.050200185947,5525.251000929736,512,512,512.0,0,0,0.0,298.5088311980071,12.056594726380837,118.48579938299372,50436.20027889755,50710.32034199743,108658.42696942708,113533.65643773983,55.48591007274573,54.94204637405231,80.390519379832,93.57177080485262,55.50132806882447,39.21914802049287,158.22252699290402,182.23471695091575,57482.91085813627,57528.42787701229,116170.18747052932,120009.48858511515
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l10-s31002-b2-a1,512,128,1024,10.0,31002,2,3000,0,3000,344.61904421498184,8.705264698397011,,4457.09552557927,1114.2738813948174,5571.369406974087,512,512,512.0,0,0,0.0,299.450703103008,10.015004035466815,45.16834111197386,17370.532529062224,14582.468329492258,37229.702470351185,41116.95236474187,54.33054630558538,51.51268231886893,81.27426403394976,90.18769877136168,54.33054724000564,35.48577899346128,147.4975901670404,198.2806156002335,24270.511909871566,21545.956594505697,44188.25015514885,47598.17487261461
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l12-s31002-b2-a1,512,128,1024,12.0,31002,2,3600,0,3600,520.4355652540107,6.917282830666917,,3541.6488093014614,885.4122023253653,4427.061011626826,512,512,512.0,0,0,0.0,379.6930139150063,9.478710084472691,140.74255133900442,91205.1720650269,105714.46491200186,146492.96581334202,149769.02285834658,69.13386050712043,64.59624183469171,98.15530371909507,125.9250434026292,69.14248159749981,44.21823000302538,182.09510438900904,281.3144457509043,99985.17234943119,116309.22930549423,154981.4956457558,157493.84677043825
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l11-s31002-b2-a1,512,128,1024,11.0,31002,2,3300,0,3300,386.1705978139944,8.545446024840816,,4375.268364718498,1093.8170911796244,5469.085455898123,512,512,512.0,0,0,0.0,306.02949639200233,10.780006629734189,80.14110142199206,58821.554730179996,77828.64179649914,91263.94853399252,93207.29457572161,55.84029792678658,54.76040972818852,85.5991357632438,114.79167125007,55.84842766167812,38.48411201033741,155.63934979145412,235.97466031787917,65913.27256688189,83170.58566350897,97027.95626456791,98962.6705148592
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l12-s31003-b3-a1,512,128,1024,12.0,31003,3,3600,0,3600,356.6777427169727,10.093144507916872,,5167.689988053438,1291.9224970133596,6459.6124850667975,512,512,512.0,0,0,0.0,298.18718147001346,12.069599981654227,58.49056124695926,38293.46802296429,42872.06202148809,63253.94889324671,64566.400234101166,46.61157460765883,43.89087377161,68.86052827588668,88.80846649480068,46.61759141492265,31.63985299761407,130.11858900426887,178.27841420657927,44213.13799813697,51362.321891996544,68199.3792846959,69185.30593499192
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l10-s31003-b3-a1,512,128,1024,10.0,31003,3,3000,0,3000,299.7535454260069,10.008221906888302,,5124.209616326811,1281.0524040817027,6405.262020408513,512,512,512.0,0,0,0.0,298.63179577098344,10.042467153430277,1.12174965502345,69.16012328510988,62.782352513750084,105.51518954162013,146.4651593595039,15.010293480653555,14.744208385896552,20.785599594922484,23.82881287236717,15.010294449432225,12.09067550371401,34.33899643277982,46.816905656305615,1975.4673953281115,1946.8748699873686,2719.5352840906708,3156.9036265058076
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l11-s31003-b3-a1,512,128,1024,11.0,31003,3,3300,0,3300,301.4358626510075,10.947602488230245,,5605.172473973886,1401.2931184934714,7006.465592467357,512,512,512.0,0,0,0.0,300.01549838099163,10.996098594248549,1.4203642700158525,76.03995383871458,71.68569750501774,120.37460784486018,149.13580813095902,17.353500086302073,16.91759888982899,24.07442609610872,27.01440915401876,17.353501140225106,14.177288016071543,40.64657988783437,57.348427497199744,2279.934464799078,2225.5098955065478,3159.8301054735202,3519.741551036713
complete,5412da666167ac2ffde5a8b9904f26e5263031f2425ce566a56fc17a8082b579,phase3b-v2,2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3,300,200,4000,,open_loop_steady,open_loop_steady-phase3b-v2-in512-out128-l11-s31004-b4-a1,512,128,1024,11.0,31004,4,3300,0,3300,299.78658101099427,11.007830933830148,,5636.009438121036,1409.002359530259,7045.011797651294,512,512,512.0,0,0,0.0,298.2530921730213,11.061075598459173,1.5334888379729819,75.28236650298244,69.52265850850381,119.60764871328129,164.79417573427753,17.188083421335406,16.673445165355314,24.8178935527488,28.40200065939245,17.188084435162168,13.80087499273941,39.873428364808206,55.32605470420095,2258.1689610125786,2196.3041839917423,3251.480269955937,3714.5196032110825
