timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:10:44.510, 0, 22 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:45.537, 0, 16 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:46.561, 0, 16 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:47.586, 0, 15 %, 11 %, 7679 MiB, 278 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:48.611, 0, 16 %, 11 %, 7679 MiB, 278 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:49.637, 0, 16 %, 11 %, 7679 MiB, 278 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:50.666, 0, 23 %, 12 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:51.692, 0, 23 %, 12 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:52.717, 0, 23 %, 12 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:53.743, 0, 23 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:54.770, 0, 23 %, 12 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:55.795, 0, 15 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:56.822, 0, 16 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:57.848, 0, 15 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:58.878, 0, 15 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:10:59.904, 0, 15 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 45
2026/07/31 14:11:00.931, 0, 23 %, 12 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:11:01.958, 0, 33 %, 12 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 14:11:02.987, 0, 99 %, 95 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 54
2026/07/31 14:11:04.015, 0, 99 %, 55 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 59
2026/07/31 14:11:05.059, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 56
2026/07/31 14:11:06.086, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 14:11:06.506, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 56
2026/07/31 14:11:07.532, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 57
2026/07/31 14:11:08.558, 0, 99 %, 98 %, 7681 MiB, 276 MiB, [N/A], 2670 MHz, 8250 MHz, 57
2026/07/31 14:11:09.585, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 57
2026/07/31 14:11:10.611, 0, 100 %, 45 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 14:11:11.639, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 57
2026/07/31 14:11:12.666, 0, 99 %, 58 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 14:11:13.693, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 14:11:14.719, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 59
2026/07/31 14:11:15.748, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 14:11:16.775, 0, 99 %, 100 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 14:11:17.802, 0, 4 %, 8 %, 7681 MiB, 276 MiB, [N/A], 2790 MHz, 8250 MHz, 58
