timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:58:07.464, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:58:08.489, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:58:09.513, 0, 26 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:58:10.538, 0, 23 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:11.562, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:12.588, 0, 15 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:13.612, 0, 15 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:14.637, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:15.661, 0, 15 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:16.686, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:17.712, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:18.123, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:19.148, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:20.171, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:58:21.196, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 13:58:22.220, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 13:58:23.244, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 13:58:24.268, 0, 81 %, 15 %, 7748 MiB, 209 MiB, [N/A], 2460 MHz, 8250 MHz, 51
2026/07/31 13:58:25.291, 0, 99 %, 96 %, 7748 MiB, 209 MiB, [N/A], 2685 MHz, 8250 MHz, 58
2026/07/31 13:58:26.316, 0, 99 %, 97 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:58:27.342, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:58:28.368, 0, 99 %, 96 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:58:29.395, 0, 99 %, 96 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:58:30.424, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:58:31.451, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:58:32.477, 0, 99 %, 96 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 13:58:33.504, 0, 99 %, 96 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
