timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:22:20.485, 0, 22 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:21.490, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:22.493, 0, 19 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:23.497, 0, 16 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:24.501, 0, 18 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:25.508, 0, 15 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:26.516, 0, 16 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:27.527, 0, 24 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:28.542, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:29.556, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:30.571, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:31.587, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:32.608, 0, 16 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:33.626, 0, 16 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:34.644, 0, 15 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:35.663, 0, 16 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:36.684, 0, 16 %, 11 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:37.705, 0, 22 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:38.725, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:39.748, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
2026/07/31 13:22:40.774, 0, 36 %, 13 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 46
