timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:07:37.219, 0, 16 %, 12 %, 7600 MiB, 357 MiB, [N/A], 300 MHz, 5000 MHz, 51
2026/07/31 14:07:38.256, 0, 19 %, 12 %, 7600 MiB, 357 MiB, [N/A], 240 MHz, 5000 MHz, 51
2026/07/31 14:07:39.281, 0, 23 %, 12 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:07:40.308, 0, 23 %, 12 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:07:41.031, 0, 24 %, 12 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:41.651, 0, 15 %, 11 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:42.677, 0, 16 %, 11 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:43.703, 0, 15 %, 11 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:44.732, 0, 15 %, 11 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:45.759, 0, 15 %, 11 %, 7600 MiB, 357 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:46.785, 0, 20 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:47.811, 0, 23 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:48.839, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:49.866, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:50.893, 0, 24 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:51.921, 0, 21 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:52.950, 0, 16 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:07:53.979, 0, 100 %, 15 %, 7593 MiB, 364 MiB, [N/A], 2460 MHz, 8250 MHz, 49
2026/07/31 14:07:55.008, 0, 99 %, 95 %, 7593 MiB, 364 MiB, [N/A], 2790 MHz, 8250 MHz, 57
2026/07/31 14:07:56.036, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 14:07:57.065, 0, 99 %, 100 %, 7598 MiB, 359 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:07:58.095, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:07:59.123, 0, 99 %, 94 %, 7593 MiB, 364 MiB, [N/A], 2715 MHz, 8250 MHz, 60
2026/07/31 14:08:00.151, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:08:01.178, 0, 99 %, 45 %, 7593 MiB, 364 MiB, [N/A], 2745 MHz, 8250 MHz, 60
2026/07/31 14:08:02.205, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:08:03.235, 0, 99 %, 62 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 65
2026/07/31 14:08:04.263, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:08:05.290, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 66
2026/07/31 14:08:06.318, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:08:07.345, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 14:08:08.373, 0, 99 %, 83 %, 7593 MiB, 364 MiB, [N/A], 2715 MHz, 8250 MHz, 61
2026/07/31 14:08:09.399, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:08:10.145, 0, 3 %, 7 %, 7593 MiB, 364 MiB, [N/A], 2790 MHz, 8250 MHz, 61
