timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:13:37.966, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:38.993, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:40.019, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:41.047, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:42.074, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:43.100, 0, 18 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:44.128, 0, 23 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:45.154, 0, 23 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:46.183, 0, 24 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:47.210, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:48.236, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:49.263, 0, 16 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:50.290, 0, 16 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:51.318, 0, 16 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:52.344, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:53.371, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:54.397, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:55.425, 0, 24 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:56.453, 0, 99 %, 95 %, 7700 MiB, 257 MiB, [N/A], 2790 MHz, 8250 MHz, 55
2026/07/31 14:13:57.480, 0, 90 %, 88 %, 7700 MiB, 257 MiB, [N/A], 2745 MHz, 8250 MHz, 56
2026/07/31 14:13:58.509, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:13:59.537, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:14:00.564, 0, 99 %, 54 %, 7700 MiB, 257 MiB, [N/A], 2760 MHz, 8250 MHz, 62
2026/07/31 14:14:01.590, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:02.617, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:03.012, 0, 100 %, 49 %, 7700 MiB, 257 MiB, [N/A], 2760 MHz, 8250 MHz, 63
2026/07/31 14:14:04.039, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:05.065, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:06.091, 0, 100 %, 48 %, 7700 MiB, 257 MiB, [N/A], 2745 MHz, 8250 MHz, 63
2026/07/31 14:14:07.118, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:08.145, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
