timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:57:02.099, 0, 15 %, 11 %, 7747 MiB, 210 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:03.117, 0, 15 %, 10 %, 7747 MiB, 210 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:04.132, 0, 16 %, 11 %, 7747 MiB, 210 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:05.194, 0, 16 %, 11 %, 7747 MiB, 210 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:06.215, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:07.233, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:08.253, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:09.273, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:10.295, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:57:11.317, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:12.338, 0, 15 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:13.361, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:14.384, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:15.408, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:16.431, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:17.452, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:18.475, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:57:19.287, 0, 99 %, 69 %, 7748 MiB, 209 MiB, [N/A], 2790 MHz, 8250 MHz, 57
2026/07/31 13:57:19.907, 0, 97 %, 72 %, 7748 MiB, 209 MiB, [N/A], 2790 MHz, 8250 MHz, 59
