timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:21:23.222, 0, 15 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:24.232, 0, 16 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:25.238, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:26.245, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:27.254, 0, 25 %, 12 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:28.266, 0, 25 %, 12 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:29.279, 0, 24 %, 12 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:30.293, 0, 16 %, 11 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:31.309, 0, 15 %, 11 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:32.325, 0, 16 %, 11 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:21:33.344, 0, 14 %, 11 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:34.362, 0, 16 %, 11 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:35.381, 0, 19 %, 11 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:36.400, 0, 25 %, 12 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:37.422, 0, 24 %, 12 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:38.442, 0, 24 %, 12 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:39.463, 0, 24 %, 12 %, 7752 MiB, 205 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:40.484, 0, 27 %, 12 %, 7783 MiB, 174 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:41.509, 0, 15 %, 11 %, 7783 MiB, 174 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:42.535, 0, 15 %, 11 %, 7776 MiB, 181 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:43.557, 0, 15 %, 11 %, 7776 MiB, 181 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:44.580, 0, 96 %, 93 %, 7776 MiB, 181 MiB, [N/A], 2790 MHz, 8250 MHz, 47
2026/07/31 13:21:45.604, 0, 95 %, 98 %, 7776 MiB, 181 MiB, [N/A], 2790 MHz, 8250 MHz, 57
2026/07/31 13:21:46.626, 0, 95 %, 96 %, 7745 MiB, 212 MiB, [N/A], 2790 MHz, 8250 MHz, 57
