timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:49:09.090, 0, 24 %, 12 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 55
2026/07/31 13:49:10.107, 0, 23 %, 12 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 55
2026/07/31 13:49:11.123, 0, 24 %, 12 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 55
2026/07/31 13:49:12.140, 0, 16 %, 11 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:49:13.161, 0, 16 %, 11 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:49:14.179, 0, 15 %, 11 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:49:15.198, 0, 15 %, 11 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:49:16.218, 0, 15 %, 11 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:49:17.240, 0, 24 %, 12 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:49:18.260, 0, 22 %, 12 %, 7695 MiB, 262 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:49:19.282, 0, 23 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:49:20.304, 0, 23 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:49:21.326, 0, 24 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:49:22.349, 0, 16 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:49:23.371, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:49:24.394, 0, 16 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:49:25.416, 0, 16 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:49:26.181, 0, 99 %, 83 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 56
2026/07/31 13:49:26.772, 0, 99 %, 92 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:27.796, 0, 99 %, 93 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:28.819, 0, 98 %, 93 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:29.845, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:30.869, 0, 98 %, 93 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:31.892, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:32.916, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:33.942, 0, 99 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:34.966, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:35.989, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:37.012, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:38.037, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:39.061, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:40.084, 0, 98 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:41.107, 0, 99 %, 94 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:42.131, 0, 98 %, 95 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:43.156, 0, 98 %, 95 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:44.180, 0, 99 %, 95 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:45.203, 0, 99 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:46.227, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:47.251, 0, 99 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:48.275, 0, 99 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:49.299, 0, 99 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:50.323, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:51.347, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:52.372, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:53.396, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:54.419, 0, 99 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2715 MHz, 8250 MHz, 61
2026/07/31 13:49:55.296, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:55.912, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:56.935, 0, 99 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:49:57.959, 0, 97 %, 88 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:49:58.982, 0, 97 %, 84 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:00.007, 0, 97 %, 82 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:50:01.031, 0, 97 %, 81 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 65
2026/07/31 13:50:02.055, 0, 97 %, 81 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 65
2026/07/31 13:50:03.078, 0, 96 %, 82 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 66
2026/07/31 13:50:04.102, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:50:05.130, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:06.153, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:07.176, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:08.200, 0, 99 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:09.226, 0, 99 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:10.251, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:11.275, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:12.299, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:13.325, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:14.350, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:15.374, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:16.398, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:17.422, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:18.447, 0, 99 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:19.470, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:20.495, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:21.519, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:22.544, 0, 98 %, 95 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:50:23.568, 0, 98 %, 94 %, 7692 MiB, 265 MiB, [N/A], 2775 MHz, 8250 MHz, 62
