timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:39:07.435, 0, 23 %, 12 %, 7556 MiB, 401 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:39:08.439, 0, 24 %, 12 %, 7556 MiB, 401 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:39:09.442, 0, 23 %, 11 %, 7556 MiB, 401 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:39:10.448, 0, 24 %, 12 %, 7556 MiB, 401 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:39:11.451, 0, 16 %, 11 %, 7563 MiB, 394 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:39:12.457, 0, 16 %, 11 %, 7563 MiB, 394 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:39:13.469, 0, 16 %, 11 %, 7563 MiB, 394 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:39:14.478, 0, 16 %, 11 %, 7570 MiB, 387 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:15.490, 0, 16 %, 11 %, 7570 MiB, 387 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:16.503, 0, 23 %, 12 %, 7570 MiB, 387 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:17.519, 0, 23 %, 12 %, 7569 MiB, 388 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:18.534, 0, 23 %, 12 %, 7569 MiB, 388 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:19.551, 0, 23 %, 12 %, 7569 MiB, 388 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:20.568, 0, 25 %, 12 %, 7565 MiB, 392 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:21.589, 0, 15 %, 11 %, 7597 MiB, 360 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:22.608, 0, 14 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:23.627, 0, 16 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:39:24.647, 0, 16 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 13:39:25.669, 0, 99 %, 88 %, 7593 MiB, 364 MiB, [N/A], 2790 MHz, 8250 MHz, 56
2026/07/31 13:39:26.690, 0, 99 %, 94 %, 7561 MiB, 396 MiB, [N/A], 2790 MHz, 8250 MHz, 60
2026/07/31 13:39:27.711, 0, 99 %, 96 %, 7561 MiB, 396 MiB, [N/A], 2790 MHz, 8250 MHz, 60
2026/07/31 13:39:28.733, 0, 98 %, 95 %, 7568 MiB, 389 MiB, [N/A], 2790 MHz, 8250 MHz, 60
2026/07/31 13:39:29.754, 0, 98 %, 94 %, 7568 MiB, 389 MiB, [N/A], 2790 MHz, 8250 MHz, 60
2026/07/31 13:39:30.780, 0, 98 %, 95 %, 7563 MiB, 394 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:31.803, 0, 98 %, 96 %, 7563 MiB, 394 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:32.825, 0, 91 %, 86 %, 7563 MiB, 394 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:33.849, 0, 95 %, 88 %, 7564 MiB, 393 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:34.652, 0, 98 %, 96 %, 7562 MiB, 395 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:35.676, 0, 98 %, 94 %, 7562 MiB, 395 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:36.691, 0, 98 %, 95 %, 7562 MiB, 395 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:37.702, 0, 98 %, 95 %, 7562 MiB, 395 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:38.719, 0, 98 %, 95 %, 7562 MiB, 395 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:39.733, 0, 99 %, 95 %, 7562 MiB, 395 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:40.750, 0, 98 %, 96 %, 7562 MiB, 395 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:39:41.768, 0, 94 %, 87 %, 7562 MiB, 395 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:39:42.789, 0, 95 %, 87 %, 7562 MiB, 395 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:39:43.807, 0, 98 %, 95 %, 7555 MiB, 402 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:39:44.827, 0, 98 %, 96 %, 7555 MiB, 402 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:39:45.846, 0, 99 %, 96 %, 7555 MiB, 402 MiB, [N/A], 2775 MHz, 8250 MHz, 62
