timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:55:27.105, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:55:28.129, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:29.149, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:30.169, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:31.218, 0, 15 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:32.282, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:33.347, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:34.409, 0, 24 %, 12 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:35.473, 0, 23 %, 12 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:36.527, 0, 24 %, 12 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:55:37.554, 0, 24 %, 12 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:38.577, 0, 23 %, 12 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:39.601, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:40.625, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:41.651, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:42.675, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:43.698, 0, 16 %, 11 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:44.722, 0, 24 %, 12 %, 7755 MiB, 202 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:55:45.749, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2790 MHz, 8250 MHz, 57
2026/07/31 13:55:46.768, 0, 98 %, 93 %, 7748 MiB, 209 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:55:47.774, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:55:48.779, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:49.786, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:55:50.494, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:51.497, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:52.500, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:53.504, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:54.507, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:55.510, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:56.513, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:57.516, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:58.521, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:55:59.528, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:56:00.537, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:56:01.547, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:56:02.561, 0, 97 %, 91 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:56:03.576, 0, 97 %, 83 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:56:04.591, 0, 97 %, 82 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 13:56:05.609, 0, 97 %, 82 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 65
2026/07/31 13:56:06.628, 0, 97 %, 82 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 13:56:07.647, 0, 97 %, 83 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:56:08.666, 0, 97 %, 83 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:56:09.686, 0, 97 %, 82 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:10.708, 0, 97 %, 82 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:11.729, 0, 99 %, 88 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:12.751, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:13.773, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:14.795, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:15.820, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:16.842, 0, 98 %, 93 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:17.865, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:18.889, 0, 99 %, 93 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:19.911, 0, 99 %, 93 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:20.362, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:21.386, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:56:22.409, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
