timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:12:57.504, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:12:58.531, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:12:59.555, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:00.580, 0, 16 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:01.605, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:02.631, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:03.657, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:04.341, 0, 24 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:05.353, 0, 24 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:13:06.356, 0, 23 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:07.360, 0, 24 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:08.362, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:09.366, 0, 16 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:10.369, 0, 16 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:11.376, 0, 16 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:12.384, 0, 15 %, 11 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:13.399, 0, 24 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:13:14.416, 0, 100 %, 43 %, 7700 MiB, 257 MiB, [N/A], 2790 MHz, 8250 MHz, 54
2026/07/31 14:13:15.432, 0, 99 %, 95 %, 7700 MiB, 257 MiB, [N/A], 2790 MHz, 8250 MHz, 56
2026/07/31 14:13:16.451, 0, 100 %, 55 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 14:13:17.470, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:13:18.491, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:13:19.548, 0, 99 %, 93 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 14:13:20.570, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:13:21.592, 0, 99 %, 70 %, 7700 MiB, 257 MiB, [N/A], 2745 MHz, 8250 MHz, 60
2026/07/31 14:13:22.614, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:13:23.638, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:13:24.662, 0, 99 %, 48 %, 7700 MiB, 257 MiB, [N/A], 2745 MHz, 8250 MHz, 64
2026/07/31 14:13:25.686, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:13:26.710, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
