timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:21:52.995, 0, 16 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:54.021, 0, 16 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:55.045, 0, 16 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:56.069, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:57.092, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:58.117, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:21:59.140, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:00.163, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:01.187, 0, 16 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:02.210, 0, 15 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:03.236, 0, 15 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:04.259, 0, 15 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:05.283, 0, 16 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:06.307, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:07.331, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:08.355, 0, 23 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:09.379, 0, 24 %, 12 %, 7745 MiB, 212 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:10.402, 0, 23 %, 12 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:11.425, 0, 15 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:12.450, 0, 15 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:13.475, 0, 16 %, 11 %, 7744 MiB, 213 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 13:22:14.499, 0, 97 %, 93 %, 7744 MiB, 213 MiB, [N/A], 2790 MHz, 8250 MHz, 51
