timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:14:59.590, 0, 24 %, 12 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:00.617, 0, 16 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:01.647, 0, 16 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:02.021, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:03.048, 0, 16 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:04.074, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:05.102, 0, 23 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:06.129, 0, 24 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:07.156, 0, 24 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:08.182, 0, 24 %, 12 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:09.209, 0, 24 %, 12 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:10.241, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:11.267, 0, 16 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:12.294, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:13.321, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:14.351, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:15.377, 0, 25 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:16.404, 0, 24 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:17.430, 0, 99 %, 95 %, 7668 MiB, 289 MiB, [N/A], 2790 MHz, 8250 MHz, 56
2026/07/31 14:15:18.459, 0, 99 %, 48 %, 7667 MiB, 290 MiB, [N/A], 2745 MHz, 8250 MHz, 57
2026/07/31 14:15:19.485, 0, 99 %, 100 %, 7667 MiB, 290 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:15:20.512, 0, 99 %, 100 %, 7667 MiB, 290 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:15:21.539, 0, 99 %, 49 %, 7667 MiB, 290 MiB, [N/A], 2730 MHz, 8250 MHz, 63
2026/07/31 14:15:22.566, 0, 99 %, 100 %, 7667 MiB, 290 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:15:23.593, 0, 99 %, 100 %, 7667 MiB, 290 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:15:24.620, 0, 100 %, 48 %, 7667 MiB, 290 MiB, [N/A], 2715 MHz, 8250 MHz, 64
2026/07/31 14:15:25.646, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:15:26.673, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:15:27.704, 0, 99 %, 74 %, 7667 MiB, 290 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 14:15:28.731, 0, 99 %, 100 %, 7667 MiB, 290 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:15:29.758, 0, 99 %, 100 %, 7667 MiB, 290 MiB, [N/A], 2790 MHz, 8250 MHz, 60
