timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:52:19.821, 0, 14 %, 11 %, 7710 MiB, 247 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:52:20.848, 0, 15 %, 11 %, 7757 MiB, 200 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:21.870, 0, 16 %, 11 %, 7757 MiB, 200 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:22.893, 0, 33 %, 12 %, 7738 MiB, 219 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:23.915, 0, 23 %, 12 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:24.939, 0, 23 %, 12 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:23.661, 0, 27 %, 12 %, 7724 MiB, 233 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:24.683, 0, 23 %, 12 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:25.706, 0, 17 %, 11 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:26.730, 0, 16 %, 11 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:52:27.757, 0, 16 %, 11 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:28.780, 0, 15 %, 11 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:29.803, 0, 15 %, 11 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:30.827, 0, 24 %, 12 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:31.853, 0, 23 %, 12 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:32.877, 0, 24 %, 12 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:33.900, 0, 22 %, 11 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:34.924, 0, 23 %, 12 %, 7737 MiB, 220 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:52:35.949, 0, 98 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 13:52:36.973, 0, 98 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:52:37.996, 0, 98 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:52:39.020, 0, 98 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:52:40.044, 0, 98 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:41.068, 0, 99 %, 94 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:42.092, 0, 99 %, 94 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:43.115, 0, 98 %, 94 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:44.139, 0, 98 %, 93 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:45.165, 0, 98 %, 94 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:46.188, 0, 98 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:47.211, 0, 99 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:48.235, 0, 98 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:49.260, 0, 99 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2760 MHz, 8250 MHz, 60
2026/07/31 13:52:50.326, 0, 99 %, 95 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:51.350, 0, 97 %, 91 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:52.373, 0, 97 %, 86 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:52.846, 0, 97 %, 82 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:52:53.871, 0, 97 %, 82 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:52:54.894, 0, 96 %, 80 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 13:52:55.918, 0, 96 %, 82 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 65
2026/07/31 13:52:56.942, 0, 96 %, 82 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:52:57.969, 0, 92 %, 78 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:52:58.992, 0, 97 %, 82 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:00.016, 0, 98 %, 86 %, 7737 MiB, 220 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:01.040, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:02.066, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:03.089, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:04.112, 0, 98 %, 94 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:05.136, 0, 98 %, 94 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:06.162, 0, 98 %, 93 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:07.185, 0, 98 %, 95 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:08.209, 0, 98 %, 95 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:09.233, 0, 98 %, 95 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:10.257, 0, 98 %, 95 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:11.282, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:12.306, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:13.330, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:14.353, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:15.379, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:16.403, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:17.426, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:53:18.450, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:19.474, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:20.498, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:21.521, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2700 MHz, 8250 MHz, 62
2026/07/31 13:53:22.372, 0, 98 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:22.978, 0, 97 %, 91 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:24.004, 0, 97 %, 87 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:25.028, 0, 97 %, 82 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:26.052, 0, 97 %, 83 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:27.075, 0, 97 %, 84 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:53:28.099, 0, 97 %, 82 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 62
