timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:04:15.848, 0, 23 %, 12 %, 7638 MiB, 319 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:16.852, 0, 24 %, 12 %, 7638 MiB, 319 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:17.855, 0, 24 %, 12 %, 7638 MiB, 319 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:18.858, 0, 16 %, 11 %, 7638 MiB, 319 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:19.861, 0, 16 %, 11 %, 7638 MiB, 319 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:20.865, 0, 16 %, 11 %, 7638 MiB, 319 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:21.868, 0, 15 %, 10 %, 7638 MiB, 319 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:22.872, 0, 16 %, 11 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:23.877, 0, 24 %, 12 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:24.883, 0, 23 %, 12 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:25.891, 0, 23 %, 12 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:04:26.902, 0, 23 %, 12 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:04:27.915, 0, 23 %, 12 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:04:28.927, 0, 15 %, 11 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:04:29.942, 0, 16 %, 11 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:04:30.969, 0, 15 %, 11 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:04:32.003, 0, 14 %, 11 %, 7634 MiB, 323 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:04:33.042, 0, 99 %, 47 %, 7634 MiB, 323 MiB, [N/A], 2745 MHz, 8250 MHz, 50
2026/07/31 14:04:34.083, 0, 99 %, 96 %, 7634 MiB, 323 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 14:04:35.121, 0, 99 %, 96 %, 7634 MiB, 323 MiB, [N/A], 2790 MHz, 8250 MHz, 59
2026/07/31 14:04:36.157, 0, 98 %, 93 %, 7619 MiB, 338 MiB, [N/A], 2790 MHz, 8250 MHz, 59
2026/07/31 14:04:37.178, 0, 99 %, 83 %, 7628 MiB, 329 MiB, [N/A], 2730 MHz, 8250 MHz, 59
2026/07/31 14:04:38.225, 0, 99 %, 95 %, 7628 MiB, 329 MiB, [N/A], 2790 MHz, 8250 MHz, 59
2026/07/31 14:04:39.246, 0, 99 %, 96 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:04:40.266, 0, 99 %, 80 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:04:41.290, 0, 99 %, 97 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:04:42.356, 0, 99 %, 96 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:04:43.377, 0, 99 %, 96 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:04:44.397, 0, 99 %, 65 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:04:44.804, 0, 99 %, 95 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:04:45.827, 0, 99 %, 95 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:04:46.845, 0, 99 %, 95 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:04:47.858, 0, 99 %, 61 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 14:04:48.871, 0, 99 %, 95 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:04:49.885, 0, 99 %, 96 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:04:50.897, 0, 99 %, 96 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:04:51.910, 0, 99 %, 79 %, 7628 MiB, 329 MiB, [N/A], 2700 MHz, 8250 MHz, 66
2026/07/31 14:04:52.937, 0, 99 %, 96 %, 7628 MiB, 329 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:04:53.961, 0, 99 %, 97 %, 7629 MiB, 328 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:04:54.985, 0, 99 %, 95 %, 7629 MiB, 328 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:04:56.015, 0, 13 %, 16 %, 7629 MiB, 328 MiB, [N/A], 2775 MHz, 8250 MHz, 59
