timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:14:19.306, 0, 15 %, 11 %, 7704 MiB, 253 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:20.336, 0, 14 %, 10 %, 7704 MiB, 253 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:21.362, 0, 14 %, 11 %, 7703 MiB, 254 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:22.388, 0, 15 %, 11 %, 7703 MiB, 254 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:23.414, 0, 15 %, 11 %, 7703 MiB, 254 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:24.441, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:25.471, 0, 25 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:26.497, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:27.524, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:28.550, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:14:29.579, 0, 15 %, 11 %, 7699 MiB, 258 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:14:30.605, 0, 16 %, 11 %, 7699 MiB, 258 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:14:31.632, 0, 16 %, 11 %, 7699 MiB, 258 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:14:32.391, 0, 16 %, 11 %, 7699 MiB, 258 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:14:32.974, 0, 15 %, 11 %, 7699 MiB, 258 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:14:34.003, 0, 21 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:14:35.030, 0, 23 %, 12 %, 7700 MiB, 257 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:14:36.057, 0, 99 %, 94 %, 7700 MiB, 257 MiB, [N/A], 2790 MHz, 8250 MHz, 55
2026/07/31 14:14:37.085, 0, 99 %, 95 %, 7700 MiB, 257 MiB, [N/A], 2730 MHz, 8250 MHz, 56
2026/07/31 14:14:38.162, 0, 99 %, 100 %, 7699 MiB, 258 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:39.189, 0, 99 %, 100 %, 7699 MiB, 258 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:14:40.220, 0, 100 %, 48 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:14:41.246, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:42.273, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:43.299, 0, 100 %, 48 %, 7700 MiB, 257 MiB, [N/A], 2730 MHz, 8250 MHz, 64
2026/07/31 14:14:44.327, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:45.354, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:46.380, 0, 100 %, 47 %, 7700 MiB, 257 MiB, [N/A], 2745 MHz, 8250 MHz, 64
2026/07/31 14:14:47.407, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:14:48.433, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 61
