timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:06:50.929, 0, 18 %, 11 %, 7592 MiB, 365 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:51.955, 0, 16 %, 11 %, 7592 MiB, 365 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:52.979, 0, 16 %, 11 %, 7592 MiB, 365 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:54.005, 0, 15 %, 11 %, 7592 MiB, 365 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:55.031, 0, 15 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:56.057, 0, 15 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:57.084, 0, 24 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:58.110, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:59.138, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:07:00.165, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:07:01.191, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:02.217, 0, 15 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:03.244, 0, 15 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:04.274, 0, 15 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:05.301, 0, 17 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:06.328, 0, 18 %, 11 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:07.356, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:08.384, 0, 23 %, 12 %, 7593 MiB, 364 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:07:09.412, 0, 100 %, 16 %, 7593 MiB, 364 MiB, [N/A], 2460 MHz, 8250 MHz, 50
2026/07/31 14:07:10.439, 0, 99 %, 95 %, 7593 MiB, 364 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 14:07:11.467, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:07:11.849, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:07:12.875, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:07:13.901, 0, 99 %, 97 %, 7593 MiB, 364 MiB, [N/A], 2715 MHz, 8250 MHz, 60
2026/07/31 14:07:14.960, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:07:15.986, 0, 99 %, 45 %, 7593 MiB, 364 MiB, [N/A], 2730 MHz, 8250 MHz, 64
2026/07/31 14:07:17.012, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:07:18.040, 0, 99 %, 59 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 66
2026/07/31 14:07:19.068, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:07:20.101, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 14:07:21.134, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:07:22.167, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 14:07:23.202, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2670 MHz, 8250 MHz, 61
2026/07/31 14:07:24.234, 0, 99 %, 100 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 14:07:25.267, 0, 5 %, 9 %, 7593 MiB, 364 MiB, [N/A], 2790 MHz, 8250 MHz, 56
