timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:36:40.776, 0, 15 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:41.817, 0, 15 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:42.852, 0, 23 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:43.886, 0, 23 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:44.918, 0, 23 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:45.951, 0, 23 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:46.980, 0, 24 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:48.009, 0, 15 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:49.037, 0, 15 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:50.065, 0, 16 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:51.092, 0, 16 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:52.115, 0, 16 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:53.137, 0, 24 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:54.159, 0, 23 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:55.184, 0, 23 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:56.206, 0, 24 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 13:36:57.228, 0, 23 %, 12 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:36:58.249, 0, 15 %, 11 %, 7761 MiB, 196 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 13:36:59.267, 0, 100 %, 15 %, 7761 MiB, 196 MiB, [N/A], 2460 MHz, 8250 MHz, 49
2026/07/31 13:37:00.281, 0, 94 %, 93 %, 7761 MiB, 196 MiB, [N/A], 2790 MHz, 8250 MHz, 59
2026/07/31 13:37:01.296, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:37:02.310, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:37:03.327, 0, 98 %, 99 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:37:04.342, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:37:04.702, 0, 95 %, 91 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:05.715, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:06.720, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:07.723, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:10.459, 0, 94 %, 93 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:11.462, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:12.465, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:13.469, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:14.496, 0, 95 %, 93 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:15.520, 0, 98 %, 99 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:16.523, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:17.527, 0, 98 %, 100 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:37:18.530, 0, 94 %, 92 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:37:19.533, 0, 94 %, 92 %, 7761 MiB, 196 MiB, [N/A], 2775 MHz, 8250 MHz, 64
