timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:46:39.203, 0, 16 %, 11 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 55
2026/07/31 13:46:40.220, 0, 16 %, 11 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 55
2026/07/31 13:46:41.238, 0, 16 %, 11 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:42.257, 0, 16 %, 11 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:43.276, 0, 16 %, 11 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:44.296, 0, 22 %, 12 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:45.316, 0, 23 %, 12 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:46.336, 0, 24 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:47.359, 0, 24 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:48.379, 0, 23 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:46:49.401, 0, 20 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:46:50.421, 0, 18 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:46:51.443, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:46:52.467, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:46:53.489, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:46:54.511, 0, 16 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:46:55.534, 0, 23 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:46:56.555, 0, 100 %, 25 %, 7691 MiB, 266 MiB, [N/A], 2385 MHz, 8250 MHz, 54
2026/07/31 13:46:57.585, 0, 95 %, 87 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:46:58.219, 0, 98 %, 88 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:46:58.831, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:46:59.852, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:47:00.873, 0, 98 %, 96 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:47:01.894, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:47:02.917, 0, 99 %, 96 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:47:03.939, 0, 98 %, 96 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:47:04.963, 0, 94 %, 86 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:47:06.023, 0, 94 %, 85 %, 7691 MiB, 266 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:47:07.047, 0, 99 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:08.071, 0, 98 %, 93 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:47:09.095, 0, 98 %, 94 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:47:10.118, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:47:11.142, 0, 98 %, 96 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:47:12.166, 0, 99 %, 96 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:47:13.190, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 13:47:14.213, 0, 95 %, 88 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:15.239, 0, 94 %, 85 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 13:47:16.264, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:17.287, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:18.310, 0, 98 %, 94 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:19.334, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:20.358, 0, 98 %, 96 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:21.382, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:22.432, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:23.457, 0, 98 %, 96 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:24.481, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:25.505, 0, 98 %, 94 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:26.528, 0, 98 %, 94 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:27.551, 0, 98 %, 94 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:28.409, 0, 98 %, 95 %, 7691 MiB, 266 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:29.412, 0, 98 %, 95 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:30.416, 0, 95 %, 88 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:31.420, 0, 95 %, 87 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:32.423, 0, 98 %, 96 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 13:47:33.428, 0, 99 %, 96 %, 7698 MiB, 259 MiB, [N/A], 2775 MHz, 8250 MHz, 64
