timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:05:59.054, 0, 9 %, 12 %, 7670 MiB, 287 MiB, [N/A], 510 MHz, 5000 MHz, 52
2026/07/31 14:06:00.089, 0, 13 %, 12 %, 7640 MiB, 317 MiB, [N/A], 345 MHz, 5000 MHz, 51
2026/07/31 14:06:01.114, 0, 12 %, 11 %, 7630 MiB, 327 MiB, [N/A], 255 MHz, 5000 MHz, 51
2026/07/31 14:06:02.139, 0, 15 %, 11 %, 7630 MiB, 327 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:03.165, 0, 15 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:04.190, 0, 16 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:05.215, 0, 16 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:06.241, 0, 23 %, 12 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:07.264, 0, 23 %, 12 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:08.290, 0, 23 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:09.313, 0, 23 %, 12 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 51
2026/07/31 14:06:10.337, 0, 23 %, 12 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:06:11.360, 0, 15 %, 10 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:06:12.385, 0, 15 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:06:13.100, 0, 16 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:06:13.697, 0, 16 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:06:14.717, 0, 16 %, 10 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:06:15.724, 0, 22 %, 11 %, 7601 MiB, 356 MiB, [N/A], 210 MHz, 5000 MHz, 50
2026/07/31 14:06:16.732, 0, 100 %, 48 %, 7601 MiB, 356 MiB, [N/A], 2790 MHz, 8250 MHz, 50
2026/07/31 14:06:17.739, 0, 99 %, 95 %, 7601 MiB, 356 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 14:06:18.746, 0, 99 %, 96 %, 7601 MiB, 356 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:06:19.753, 0, 99 %, 96 %, 7601 MiB, 356 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:06:20.766, 0, 99 %, 74 %, 7601 MiB, 356 MiB, [N/A], 2745 MHz, 8250 MHz, 59
2026/07/31 14:06:21.791, 0, 99 %, 96 %, 7601 MiB, 356 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:06:22.818, 0, 99 %, 97 %, 7601 MiB, 356 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:06:23.850, 0, 99 %, 96 %, 7601 MiB, 356 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:06:24.887, 0, 99 %, 86 %, 7601 MiB, 356 MiB, [N/A], 2625 MHz, 8250 MHz, 65
2026/07/31 14:06:25.919, 0, 99 %, 95 %, 7601 MiB, 356 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:06:26.952, 0, 99 %, 95 %, 7600 MiB, 357 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:06:27.985, 0, 99 %, 74 %, 7600 MiB, 357 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:06:29.019, 0, 99 %, 96 %, 7600 MiB, 357 MiB, [N/A], 2715 MHz, 8250 MHz, 60
2026/07/31 14:06:30.052, 0, 99 %, 96 %, 7598 MiB, 359 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:06:31.092, 0, 99 %, 96 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:06:32.137, 0, 99 %, 49 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:06:33.186, 0, 99 %, 96 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:06:34.232, 0, 99 %, 96 %, 7592 MiB, 365 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:06:35.277, 0, 99 %, 96 %, 7592 MiB, 365 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:06:36.321, 0, 99 %, 59 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:06:37.374, 0, 99 %, 96 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:06:38.398, 0, 99 %, 95 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:06:39.423, 0, 99 %, 95 %, 7593 MiB, 364 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:06:40.449, 0, 3 %, 7 %, 7592 MiB, 365 MiB, [N/A], 2790 MHz, 8250 MHz, 57
