timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:44:09.227, 0, 15 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 55
2026/07/31 13:44:10.235, 0, 16 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:11.247, 0, 21 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:12.257, 0, 21 %, 12 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:13.269, 0, 25 %, 12 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:14.283, 0, 23 %, 12 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:15.299, 0, 23 %, 12 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:16.315, 0, 23 %, 12 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:17.332, 0, 16 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:44:18.349, 0, 16 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:19.367, 0, 16 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:20.389, 0, 16 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:21.408, 0, 15 %, 11 %, 7651 MiB, 306 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:22.429, 0, 23 %, 12 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:23.449, 0, 23 %, 12 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:24.470, 0, 24 %, 12 %, 7647 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:25.494, 0, 24 %, 12 %, 7646 MiB, 310 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:44:26.515, 0, 67 %, 14 %, 7646 MiB, 310 MiB, [N/A], 360 MHz, 5000 MHz, 53
2026/07/31 13:44:27.537, 0, 98 %, 96 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 60
2026/07/31 13:44:28.559, 0, 95 %, 88 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:44:29.584, 0, 95 %, 87 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 61
2026/07/31 13:44:30.412, 0, 98 %, 95 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 64
2026/07/31 13:44:31.030, 0, 98 %, 96 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:32.054, 0, 98 %, 95 %, 7647 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:33.079, 0, 98 %, 95 %, 7647 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:34.103, 0, 98 %, 94 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:35.125, 0, 98 %, 94 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:36.148, 0, 98 %, 94 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:37.174, 0, 98 %, 96 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:38.198, 0, 98 %, 96 %, 7646 MiB, 310 MiB, [N/A], 2790 MHz, 8250 MHz, 62
2026/07/31 13:44:39.221, 0, 98 %, 95 %, 7647 MiB, 310 MiB, [N/A], 2775 MHz, 8250 MHz, 65
