timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:50:43.684, 0, 23 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:50:44.706, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:45.725, 0, 16 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:46.745, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:47.767, 0, 16 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:48.789, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:49.809, 0, 23 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:50.831, 0, 23 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:51.853, 0, 24 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:52.878, 0, 24 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:53.900, 0, 24 %, 12 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:50:54.718, 0, 16 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:50:55.741, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:50:56.746, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:50:57.750, 0, 15 %, 11 %, 7691 MiB, 266 MiB, [N/A], 210 MHz, 5000 MHz, 52
