timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:15:40.260, 0, 18 %, 11 %, 7675 MiB, 282 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:41.289, 0, 15 %, 11 %, 7675 MiB, 282 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:42.315, 0, 16 %, 11 %, 7675 MiB, 282 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:43.341, 0, 15 %, 11 %, 7675 MiB, 282 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:44.368, 0, 16 %, 11 %, 7675 MiB, 282 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:45.396, 0, 19 %, 11 %, 7675 MiB, 282 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:46.422, 0, 23 %, 12 %, 7675 MiB, 282 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:47.449, 0, 24 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:48.476, 0, 23 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:49.504, 0, 23 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:50.530, 0, 24 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 49
2026/07/31 14:15:51.557, 0, 16 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:52.583, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:53.610, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:54.640, 0, 16 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:55.666, 0, 15 %, 11 %, 7667 MiB, 290 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:56.693, 0, 24 %, 12 %, 7668 MiB, 289 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:15:57.720, 0, 100 %, 43 %, 7668 MiB, 289 MiB, [N/A], 2790 MHz, 8250 MHz, 49
2026/07/31 14:15:58.749, 0, 99 %, 96 %, 7668 MiB, 289 MiB, [N/A], 2790 MHz, 8250 MHz, 56
2026/07/31 14:15:59.776, 0, 100 %, 59 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 14:16:00.564, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:16:01.189, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2730 MHz, 8250 MHz, 59
2026/07/31 14:16:02.217, 0, 99 %, 99 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 64
2026/07/31 14:16:03.244, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:16:04.271, 0, 99 %, 59 %, 7668 MiB, 289 MiB, [N/A], 2745 MHz, 8250 MHz, 60
2026/07/31 14:16:05.298, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:16:06.325, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 14:16:07.354, 0, 100 %, 49 %, 7668 MiB, 289 MiB, [N/A], 2760 MHz, 8250 MHz, 63
2026/07/31 14:16:08.380, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 14:16:09.407, 0, 99 %, 100 %, 7668 MiB, 289 MiB, [N/A], 2775 MHz, 8250 MHz, 61
