timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 14:11:28.940, 0, 16 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:11:29.969, 0, 16 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 48
2026/07/31 14:11:30.997, 0, 16 %, 11 %, 7681 MiB, 276 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:32.023, 0, 24 %, 12 %, 7688 MiB, 269 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:33.050, 0, 23 %, 12 %, 7688 MiB, 269 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:34.076, 0, 23 %, 12 %, 7688 MiB, 269 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:35.104, 0, 23 %, 12 %, 7688 MiB, 269 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:35.861, 0, 23 %, 12 %, 7688 MiB, 269 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:36.460, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:37.486, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:38.512, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:39.541, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:40.567, 0, 16 %, 11 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:41.592, 0, 24 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:42.618, 0, 24 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:43.648, 0, 23 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:44.676, 0, 23 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:45.706, 0, 25 %, 12 %, 7707 MiB, 250 MiB, [N/A], 210 MHz, 5000 MHz, 47
2026/07/31 14:11:46.737, 0, 99 %, 96 %, 7700 MiB, 257 MiB, [N/A], 2790 MHz, 8250 MHz, 55
2026/07/31 14:11:47.769, 0, 100 %, 60 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 14:11:48.800, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 57
2026/07/31 14:11:49.830, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 58
2026/07/31 14:11:50.861, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2730 MHz, 8250 MHz, 58
2026/07/31 14:11:51.894, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 58
2026/07/31 14:11:52.922, 0, 99 %, 46 %, 7700 MiB, 257 MiB, [N/A], 2745 MHz, 8250 MHz, 58
2026/07/31 14:11:53.950, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 58
2026/07/31 14:11:54.979, 0, 99 %, 65 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 63
2026/07/31 14:11:56.049, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:11:57.077, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 62
2026/07/31 14:11:58.109, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:11:59.137, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:12:00.166, 0, 99 %, 81 %, 7700 MiB, 257 MiB, [N/A], 2685 MHz, 8250 MHz, 59
2026/07/31 14:12:01.192, 0, 99 %, 100 %, 7700 MiB, 257 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 14:12:02.222, 0, 3 %, 7 %, 7700 MiB, 257 MiB, [N/A], 2790 MHz, 8250 MHz, 57
